t,sigma_t,S_t
0.3765,0.019132636261936196,110.3935419220721
0.377,0.020141594623707095,110.3464554363271
0.3775,0.0192675207037679,110.3249743970449
0.378,0.02174975930967396,110.1747256598245
0.3785,0.02226518022313078,110.24998992583767
0.379,0.02247679714451803,109.97546207205842
0.3795,0.021639821551357477,109.56302733405467
0.38,0.0223584338992277,109.7918303714041
0.3805,0.021807496923947043,110.02731774311805
0.381,0.021955651618614257,109.73949541780317
0.3815,0.024527401379034582,110.06943417239559
0.382,0.02444969099429453,109.83039001395024
0.3825,0.025678513839462912,109.93200158898539
0.383,0.024944111461545578,110.25953840193358
0.3835,0.024929625900699155,110.25086037492724
0.384,0.026827803747638625,110.43227678056019
0.3845,0.0261586820996437,110.22781989443016
0.385,0.028145880346185096,110.15390897762897
0.3855,0.028960177960324855,110.07324774522895
0.386,0.02833463610474986,109.76493994352094
0.3865,0.029066239444351032,109.69629634457652
0.387,0.030194921307623926,109.05307086977994
0.3875,0.03093445011952169,108.84931610877419
0.388,0.02909541599188034,108.73171862324857
0.3885,0.028279750711701666,108.62982537722482
0.389,0.028018107597831077,108.53552344948177
0.3895,0.027952502107541154,108.5147741502843
0.39,0.02866668487816713,108.71361485394564
0.3905,0.028885514454410885,109.0778999639832
0.391,0.027379748284639696,108.81291226786776
0.3915,0.02782069633692681,108.3328489913516
0.392,0.028522148079862687,107.91615002536797
0.3925,0.029173559918869114,107.72191550431123
0.393,0.03042813575841635,107.58143745130285
0.3935,0.03141831293974743,107.26263210397227
0.394,0.03197717048885945,106.71590056073717
0.3945,0.03190503591940126,106.52553728182302
0.395,0.02992698491075491,106.60698978271334
0.3955,0.030440657875136643,106.85663489592656
0.396,0.030698073975731082,106.62852932673098
0.3965,0.031031223089065807,106.46026561013481
0.397,0.029535947784066926,106.0759172485101
0.3975,0.028305322264004232,106.06734440818823
0.398,0.029511453310282112,105.73304236463524
0.3985,0.029481602948829542,105.9700499981926
0.399,0.0302823415952552,105.24769334577668
0.3995,0.030329975531345484,105.10462187746205
0.4,0.03037924369807636,105.23206960888906
0.4005,0.0314907312356104,105.31167495136854
0.401,0.030889188830132114,106.44125571772464
0.4015,0.031016180321785578,106.59183821506721
0.402,0.03048351969078112,106.17463793259688
0.4025,0.02998890335065486,106.13931372931147
0.403,0.02964476089284712,105.41352248269972
0.4035,0.029916857223058795,105.38502838710095
0.404,0.02937649765104166,105.04969973408487
0.4045,0.030836247974800286,105.42244298555048
0.405,0.02979616626555795,105.19917718584963
0.4055,0.02959508566776557,105.15597256845889
0.406,0.029103231422716005,104.9030896098305
0.40650000000000003,0.030775494307388757,105.6031208542727
0.40700000000000003,0.031020639984207087,105.47426962498666
0.40750000000000003,0.03225322747411496,106.23971598817191
0.40800000000000003,0.030475135621322598,106.59131282305536
0.40850000000000003,0.030802154754277722,106.79615609085594
0.40900000000000003,0.03186333715963799,106.95496880722645
0.40950000000000003,0.031974071868611245,107.12736117926524
0.41000000000000003,0.03326416912000998,106.30595508039634
0.41050000000000003,0.03264138411239686,106.18929972120621
0.41100000000000003,0.0343605036228643,106.55611401005879
0.41150000000000003,0.03722757835960002,106.53878007253896
0.41200000000000003,0.03676211104344462,105.8971493074468
0.41250000000000003,0.03619396520837234,105.87759282562203
0.41300000000000003,0.038054507442489754,106.64937253818893
0.41350000000000003,0.040124465182870356,107.23370142551758
0.41400000000000003,0.03942169760567797,107.20820967591948
0.41450000000000004,0.03886291527488136,107.66536049137494
0.41500000000000004,0.0384919794074842,107.49572249141055
0.41550000000000004,0.03672479997522036,106.69649958694797
0.41600000000000004,0.035548747913196066,106.27809315762379
0.4165,0.03428539762588081,106.982619858968
0.417,0.033340278752368946,106.86553445342491
0.4175,0.033307783770893766,106.7636152495083
0.418,0.033604565432000334,106.63724822255593
0.4185,0.03552083637197884,107.47383532510263
0.419,0.03426534275781808,108.21457688907365
0.4195,0.03549622603627371,109.21273660258625
0.42,0.035232530766342654,109.14392889110344
0.4205,0.03517739963879416,109.28371904581529
0.421,0.03603366882919669,108.59297713878979
0.4215,0.03460995841449923,109.27809366035929
0.422,0.035095282280043286,108.75160537753138
0.4225,0.035311819370692034,108.85470959580995
0.423,0.03593961998353258,108.357162100672
0.4235,0.03631345336801149,108.09100935161722
0.424,0.03945764570802635,107.70970375357362
0.4245,0.03860866166323791,107.42319507689912
0.425,0.03791084114830094,107.17303579006531
0.4255,0.037100069422723585,106.92149606756277
0.426,0.036386691478480206,107.30953004686181
0.4265,0.035576504657581436,106.80811081362744
0.427,0.03708758307446381,106.91173157861573
0.4275,0.038927065747675106,107.47674264800666
0.428,0.03817327826130709,107.23770429540726
0.4285,0.03708509338572196,106.90564675543723
0.429,0.03769845531642898,106.80380165712955
0.4295,0.036982653178664164,107.35510784820865
0.43,0.03780369053306371,107.44901058320764
0.4305,0.03807165497170653,107.20515283191533
0.431,0.03609058696935738,107.43576795461726
0.4315,0.03806858021414134,106.93699635550175
0.432,0.04042201031811174,107.25916074605882
0.4325,0.03959490947422642,107.46048207568431
0.433,0.03907800146618249,107.31760549931097
0.4335,0.03945846720177358,106.92409373988909
0.434,0.03990495255765693,106.50725828417643
0.4345,0.0407875746447693,106.76595722498342
0.435,0.04350978709841253,107.3627802258646
0.4355,0.043256926489580544,107.047934599213
0.436,0.042138262891659846,107.28042045500504
0.4365,0.04023568642767794,106.25699866101188
0.437,0.039251802526991,105.98262384116987
0.4375,0.03920889795316753,105.97228051124114
0.438,0.041593809000828874,105.54968454556767
0.4385,0.04088326976778556,105.10312405514415
0.439,0.04118548475097983,104.79000152210921
0.4395,0.0411613487740171,104.93313921645533
0.44,0.04277698366727506,104.84816063736216
0.4405,0.0462787621055934,103.76703945499679
0.441,0.04550324600668512,102.71263237018223
0.4415,0.04479462295018944,102.41942214529284
0.442,0.04626990341527298,102.64536331194124
0.4425,0.04724444356116193,101.2929931663912
0.443,0.04992622560659075,101.051022089518
0.4435,0.05078658212341955,100.7893709422507
0.444,0.050227241465511364,101.49853280794702
0.4445,0.05109989388602732,101.30675348752119
0.445,0.05276449175644074,101.50692476329208
0.4455,0.05400963381753556,101.58463321056145
0.446,0.054779451856937014,100.46397838937861
0.4465,0.05643202150249042,100.87190508163572
0.447,0.05827071890076018,100.99135347663315
0.4475,0.060481464155808747,101.27246197767374
0.448,0.06152094929264508,103.46308651420672
0.4485,0.061210606145886366,102.27130209805806
0.449,0.06142228533696751,103.25120201304208
0.4495,0.06339600811416723,103.09085638923975
0.45,0.061981085723438495,103.26174906112266
0.4505,0.06256382598926137,103.23971684499833
0.451,0.061869994272187416,102.99888296825534
0.4515,0.06188515223582548,102.67656162521106
0.452,0.06398578138413723,102.86886732885665
0.4525,0.06427407255771203,101.9902152585128
0.453,0.0643166354415988,102.42826308657327
0.4535,0.061966706414648166,102.19061231908401
0.454,0.06317991083506963,101.55189338055263
0.4545,0.06423352300399851,101.29910079333598
0.455,0.06787502929109421,102.0248553953768
0.4555,0.06729531967963774,101.71075724202429
0.456,0.06763574168131024,101.92630956155746
0.4565,0.06802936135786777,101.4971243849051
0.457,0.07074732924556262,101.94983808440107
0.4575,0.07053117501484718,102.36957674410236
0.458,0.07098246767905675,103.49747790704559
0.4585,0.0720224482532769,103.39336836875707
0.459,0.07231036336160836,103.81237559819779
0.4595,0.07145658721484169,103.87774335100669
0.46,0.07175744343691025,104.68651818911111
0.4605,0.07363908646996647,104.23995446923792
0.461,0.07171998681414687,104.71535390457133
0.4615,0.07191128637822311,104.59745384167222
0.462,0.0706039785992278,104.56137904546104
0.4625,0.07268820060305928,104.62256332092957
0.463,0.0698843598092393,104.78584337982356
0.4635,0.06884836511925246,104.71804148168412
0.464,0.06946904724051231,104.8541506277187
0.4645,0.07219281550125725,105.83357195707087
0.465,0.07202601744315881,106.46440459410567
0.4655,0.07097843872435335,107.02396763082011
0.466,0.07429394650993816,106.73780931980517
0.4665,0.07159488529048154,106.163584116522
0.467,0.06760079255528079,106.77462511635316
0.4675,0.06832683959795607,107.32271745327786
0.468,0.06740400505372078,108.25081038459969
0.4685,0.06558431713745577,107.87557903651994
0.46900000000000003,0.06676284967701852,107.73809188355655
0.46950000000000003,0.06714528513365021,106.7218639714029
0.47000000000000003,0.06612405350727081,106.48344174350098
0.47050000000000003,0.06387635814543054,107.09787669715445
0.47100000000000003,0.06531972190290258,106.81981354386862
0.47150000000000003,0.0663964889610433,107.2150752247193
0.47200000000000003,0.066185465024684,107.10168035515552
0.47250000000000003,0.06933309170756784,107.30562119383808
0.47300000000000003,0.06739894881099887,106.58480510912062
0.47350000000000003,0.06470109116874621,106.64179083426647
0.47400000000000003,0.06348341866400095,104.8317761851814
0.47450000000000003,0.06337114435053877,104.72558485997637
0.47500000000000003,0.06374701451579406,103.76861043293097
0.47550000000000003,0.06330281277031198,104.47928410765815
0.47600000000000003,0.06386205324134892,104.9404202827244
0.47650000000000003,0.06170461754484431,105.2213503170163
0.47700000000000004,0.06407787147065856,106.11451196146818
0.47750000000000004,0.06390225470033029,105.54879988623487
0.47800000000000004,0.06576106672763557,106.5955302726935
0.47850000000000004,0.06631199720331672,107.16958247598075
0.47900000000000004,0.06706154178805493,107.0278919835634
0.47950000000000004,0.06801073370403993,107.73597725937792
0.48,0.06875194953510565,107.04525461395646
0.4805,0.06983932650003459,106.53205704340238
0.481,0.07215087031664523,106.1531938028923
0.4815,0.07245675253782612,105.82017108591516
0.482,0.07368831576388551,105.15144879073182
0.4825,0.07347437623661351,105.93630335271354
0.483,0.07604278209354222,105.77433226953751
0.4835,0.07473749724552137,106.0084741292391
0.484,0.07798813475907258,105.64310988572899
0.4845,0.07785592238311835,104.44630031046147
0.485,0.07512105904253033,104.62646488591463
0.4855,0.07530391015098777,103.40447283513188
0.486,0.07399725010289152,103.36506056496572
0.4865,0.07548025624893095,102.50888975298237
0.487,0.07422425650475196,103.76446287257221
0.4875,0.0733574789660275,104.34471339506928
0.488,0.06987435650259947,104.41571751233081
0.4885,0.06902750165357191,105.1998249394584
0.489,0.0647119890750921,104.6809824142117
0.4895,0.06197203860388631,105.00878435034865
0.49,0.06320893698968184,105.12978035680564
0.4905,0.06449940348768486,105.29002591501911
0.491,0.06518749138021349,106.05501538884256
0.4915,0.0634935430528445,106.5027654223902
0.492,0.06337765488732539,106.68028343318429
0.4925,0.06333650449134302,105.69073528498339
0.493,0.061345906109777464,105.12395629463829
0.4935,0.06381177607530822,105.05671891239761
0.494,0.06526280050418279,105.116329841955
0.4945,0.06484623623805007,104.44188617511011
0.495,0.06485489432358837,105.88030169816106
0.4955,0.06517360339379483,106.79882618132167
0.496,0.0616392790899463,107.17018529083082
0.4965,0.061195155345125554,107.2173311483077
0.497,0.060031642271993854,107.0957643260783
0.4975,0.05835533126381328,106.5415173169851
0.498,0.05787227787404129,106.59036889504492
0.4985,0.060746521426209954,106.74242120324843
0.499,0.061774944468207034,106.01619021782304
0.4995,0.06078995819759676,106.21732790029547
0.5,0.06170579612162276,106.13065789339187
0.5005000000000001,0.06400506952601447,105.01023754092508
0.501,0.06553827946147127,104.50332525834773
0.5015000000000001,0.06560237706974001,104.26007731983265
0.502,0.06445242636307916,105.3914269307229
0.5025000000000001,0.06560485281412447,105.72862136009961
0.503,0.06624253294131573,104.92415793503633
0.5035000000000001,0.06774874920272042,105.22184783984396
0.504,0.06881616836921041,104.2784738191187
0.5045000000000001,0.0706198967482281,104.94490638528103
0.505,0.0696198216968683,104.65530827851535
0.5055000000000001,0.07190717647453425,104.60167737211277
0.506,0.07221476565067607,105.4374082179354
0.5065000000000001,0.07590748010899499,104.62612101809142
0.507,0.07457986320054177,103.72977114063346
0.5075000000000001,0.07770821742604006,103.36425051236274
0.508,0.078021746666032,104.03741366073832
0.5085000000000001,0.07674411268908574,103.05429799258137
0.509,0.07578976463112137,101.2504520967991
0.5095000000000001,0.07514447392258375,100.97330119212549
0.51,0.07587174998671885,101.31882791555269
0.5105000000000001,0.076784018522904,102.07189680848593
0.511,0.07566242679953962,101.78305300483804
0.5115000000000001,0.07556399376103153,101.52955568787306
0.512,0.0794610197070457,102.25373441015788
0.5125,0.08266855059451964,101.05272518528895
0.513,0.08344610797562926,100.80435096870437
0.5135,0.08345458201268048,100.93237374092399
0.514,0.08362200884091318,101.22929691241474
0.5145,0.08474670429860798,100.89964543338424
0.515,0.08268222939288677,100.92630242711408
0.5155,0.08212174943603835,99.31559812652496
0.516,0.07885094286401721,98.90066012013214
0.5165,0.07954467952115657,99.18624248761205
0.517,0.08070983097907708,98.57576422942944
0.5175,0.0797279261106099,98.61664363120995
0.518,0.08264968149371996,98.89883119211564
0.5185,0.08022177866835907,98.68500628358048
0.519,0.07737914141976089,98.79549410527164
0.5195,0.07774190613786418,98.2078301365441
0.52,0.07964378303730216,98.08525197966344
0.5205,0.08277222430860344,98.46687659096385
0.521,0.0818224371661113,98.57025096426975
0.5215,0.08382953707174527,98.204401153515
0.522,0.083688999749682,98.35088413817832
0.5225,0.08328846230353083,98.80945689449592
0.523,0.08493426895897387,97.50628356224021
0.5235,0.0861421616362265,98.24667960709496
0.524,0.0829692579060795,98.03379953888071
0.5245,0.08575785925156053,98.30638442884106
